user,item,estimated_rating
1,318,3.7888052009589193
1,5618,3.7387826695255097
1,2064,3.656560698850303
1,1276,3.652654998845594
1,7116,3.643990189512861
1,3035,3.642025738705726
1,8132,3.6299511330054917
1,926,3.627293272173576
1,1219,3.6035027548389604
1,4011,3.5789060632170258
1,1203,3.5787833069971433
1,6016,3.575346825300409
1,2690,3.561845455089804
1,2318,3.5509700427512563
1,608,3.5437274791368405
1,2542,3.535388250790543
1,54997,3.534642891911
1,905,3.5270985316222725
1,6711,3.5251908508523897
1,48780,3.5231771473343256
1,1212,3.5208645795230864
1,1217,3.513346501137344
1,55820,3.508651628315924
1,2359,3.5005892033354815
1,7502,3.4919867501057
1,1259,3.488747866539656
1,2019,3.4852005907759076
1,3362,3.482360999593592
1,1260,3.48089405923375
1,1230,3.474076057942293
1,969,3.4724108797130757
1,48516,3.47198119650799
1,1233,3.470853148886204
1,4235,3.4699977292867206
1,527,3.4687633731670586
1,3462,3.4672220902972253
1,903,3.4670162896362546
1,745,3.4634275233034204
1,5225,3.463366779530769
1,2692,3.461385465799367
2,969,4.607671698303755
2,2064,4.396117727305312
2,2571,4.392937359150921
2,2019,4.379295375699076
2,7502,4.336626817769934
2,904,4.323004201796136
2,4235,4.313862944597258
2,318,4.311173039918039
2,2918,4.306820230356041
2,2467,4.281741922583187
2,306,4.275307057895301
2,1218,4.274828018165083
2,1276,4.271551294945065
2,750,4.267383300778539
2,1939,4.26568210092506
2,1212,4.243262575519136
2,1217,4.23946220171303
2,913,4.234948882002882
2,475,4.228172143722169
2,6787,4.220830542022798
2,3735,4.219940354044731
2,5952,4.216951976528384
2,308,4.214883215539389
2,1945,4.211749485631766
2,7153,4.199330500588609
2,2318,4.197638301645718
2,1147,4.1951499527671965
2,1394,4.195148134263852
2,1196,4.188585006775083
2,1704,4.188407819170007
2,2692,4.187018430869516
2,1249,4.184942842323676
2,5618,4.182144154742047
2,69844,4.1789224249421135
2,54997,4.175465845613191
2,953,4.171471657402058
2,1207,4.170672562831477
2,92259,4.161128759003784
2,1228,4.160897500439294
2,56782,4.159031607318391
3,1945,4.27870474412841
3,953,4.2747147360262385
3,908,4.265662898540874
3,2064,4.263483857912645
3,898,4.24648756294186
3,922,4.219748026228012
3,994,4.2170371506513185
3,858,4.214174198669739
3,308,4.211776275195152
3,5989,4.210668747112862
3,6016,4.209890866368183
3,7502,4.201857130934609
3,1213,4.196237122262688
3,1203,4.188694420759392
3,1193,4.1754621812899
3,926,4.17507184858438
3,1228,4.171086742278875
3,905,4.169692569579139
3,968,4.169664214972832
3,3035,4.166822840864483
3,904,4.165817358707001
3,1247,4.159660507074923
3,2300,4.142397301133285
3,2542,4.138713584423594
3,1178,4.137910859321389
3,1252,4.127398471613366
3,50,4.126109912474095
3,246,4.121958380460782
3,194,4.118197175599679
3,5971,4.116865724152256
3,1276,4.11680296214586
3,1260,4.115416910077356
3,3469,4.113924700013287
3,1939,4.113511312641664
3,293,4.112320507022221
3,5618,4.109778706773682
3,79702,4.109117787607865
3,1136,4.107967183466738
3,3462,4.107948861087597
3,106920,4.106427335693223
4,31658,5.0
4,5225,5.0
4,2318,5.0
4,969,5.0
4,1221,5.0
4,2300,5.0
4,593,5.0
4,908,5.0
4,318,5.0
4,1939,5.0
4,926,5.0
4,1203,5.0
4,904,5.0
4,1228,5.0
4,4226,5.0
4,2692,5.0
4,905,5.0
4,954,5.0
4,527,5.0
4,306,5.0
4,3462,5.0
4,1175,5.0
4,608,5.0
4,750,5.0
4,953,5.0
4,50,5.0
4,4973,5.0
4,898,5.0
4,111,5.0
4,922,5.0
4,899,5.0
4,1252,4.999754123091143
4,47,4.998340603735135
4,7502,4.99208033161791
4,778,4.988976071956681
4,930,4.988202699810591
4,88125,4.9810186434499
4,6016,4.980278960460385
4,3088,4.978491640485246
4,373,4.96765524127688
5,969,4.775039342805683
5,1304,4.716817674284339
5,1945,4.711671986253828
5,1252,4.673427768583944
5,318,4.669053727682997
5,913,4.65419230226536
5,1217,4.619013311961573
5,923,4.607944964809911
5,48516,4.598121137668628
5,1939,4.584835996148333
5,2064,4.580027114102355
5,994,4.579617855366884
5,1172,4.579271379837997
5,232,4.578045969726109
5,7502,4.56980015939984
5,1948,4.569390333065461
5,527,4.547760998142164
5,1299,4.5461952503804985
5,3462,4.540000106846616
5,4226,4.539875238047519
5,1203,4.534394956579246
5,1283,4.5339451045427355
5,1254,4.529887123592899
5,1704,4.528370140474633
5,44191,4.524853056425146
5,904,4.524429136825028
5,8132,4.52344655160884
5,926,4.5194900531903
5,735,4.51728684813269
5,3435,4.514641035476296
5,922,4.513440147572952
5,2329,4.51137874924089
5,1136,4.5078854572074345
5,3022,4.503599478969164
5,68157,4.496844347242028
5,1175,4.493036178033992
5,1225,4.4920316932703885
5,741,4.491952785005307
5,1199,4.490952999915379
5,2028,4.487600064941113
6,318,4.2667962040065985
6,4993,4.150043575018589
6,50,4.138468734290131
6,296,4.070628411013471
6,858,4.047796680691357
6,923,4.023458812221967
6,608,4.015652592513433
6,593,4.015195660278383
6,926,4.01008099084157
6,1221,3.9925812716045743
6,905,3.9902170576168374
6,260,3.987922480707936
6,2064,3.979048464722588
6,968,3.9775935606975756
6,1228,3.975687209478364
6,475,3.971712174226196
6,1252,3.956474179174583
6,58559,3.943966504636476
6,912,3.9379483783621723
6,899,3.9311581685670713
6,7502,3.9310481578089886
6,1196,3.927111831844062
6,2973,3.9193136928795806
6,2318,3.909317719487077
6,2858,3.908384010824425
6,2467,3.9068784191094172
6,904,3.9059953559948504
6,307,3.9032578556776536
6,5995,3.901869079665687
6,3462,3.9004031735223514
6,527,3.8946214236901886
6,4235,3.8940385131507442
6,5971,3.8906342179076208
6,1267,3.8877418419203202
6,953,3.878432637272972
6,1136,3.873812934699538
6,1361,3.867392466529986
6,2918,3.867254073422226
6,3578,3.867127658856788
6,1223,3.8658923243428904
